,Genus,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
0,Aardvark,Aardvark,105-130,40-65,Grey,20-30,Insectivore,Grasslands/ Savannas,Hyenas/ Lions,40,Africa,Least Concern,Orycteropodidae,210-240,40,Solitary,1
1,Aardwolf,Aardwolf,40-50,14-8,Yellow-brown,10-12,Insectivore,Grasslands/ Savannas,Lions/ Leopards,24-30,Eastern and Southern Africa,Least Concern,Hyaenidae,90,40,Solitary,2-5
2,Anaconda,Green Anaconda,550,97.5,Olive-green,10-15,Carnivore,Swamps/ Marshes,Caymans/ Jaguars,16-24 (in water),South America,Least Concern,Boidae,150-160,24,Solitary,80
3,Anteater,Anteater,52-91,22-41,White/ Brown,15-20,Insectivore,Grasslands/ Forests,Jaguars/ Pumas,24,Central and South America,Least Concern,Myrmecophagidae,190-210,24,Solitary,1
4,Armadillo,Pink Fairy Armadillo,12-9,0.1-120,Pinkish/ Pink,4-8,Insectivore,Grasslands,Birds of Prey/ Foxes/ Canids/ Birds,0.8,Argentina,Near Threatened,Chlamyphoridae/ Dasypodidae,60-64,0.8,Solitary,1
5,Arowana,Arowana,120,6.7,Silver/ Gold/ Green,10-20,Piscivore/ Carnivore,Freshwater Rivers/ Lakes,Birds/ Larger Fish,16-32,South America/ Asia,Not Evaluated,Osteoglossidae,?,32,Solitary,?
6,Axolotl,Axolotl,30,300,Various,10-15,Carnivore,Canals/ Lakes,Birds/ Fish,0.8,Mexico,Critically Endangered,Ambystomatidae,14-21,0.2-0.3,Solitary,100-300
7,Aye-aye,Aye-Aye,35-37,2.2-2.7,Brown/ Black,20-23,Insectivore/ Omnivore,Rainforests,Birds of Prey,32,Madagascar,Endangered,Daubentoniidae,160-170,32,Solitary,1
8,Bat,Vampire Bat,9,0.05,Brown,12-8,Carnivore,Caves/ Forests,Hawks/ Owls,24-40,Americas,Least Concern,Phyllostomidae,50-70,24-40,Colony-based,1
9,Bear,Sun Bear/ Spectacled Bear/ Brown Bear/ Polar Bear,120-70,27-80,Black/ White/ Tan/ Brown,10-30,Omnivore/ Carnivore,Tropical Forests/ Arctic/ Mountains/ Forests,Wolves/ Orcas/ Tigers/ Leopards/ Jaguars/ Pumas,32-56,Europe/ Asia/ Arctic/ Southeast Asia/ South America/ North America,Least Concern/ Vulnerable,Ursidae,150-90,32-56,Solitary,1-4
10,Bird,Secretary Bird,100-150,2.3-4.5,Grey/ Black,10-15,Carnivore,Grasslands/ Savannas,Snakes/ Lizards,24,Africa,Least Concern,Sagittariidae,42-46,32,Solitary,2
11,Bison,American Bison,152-186,"1,000-318",Brown,15-20,Herbivore,Grasslands/ Plains,Wolves/ Grizzly Bears,40-56,North America,Near Threatened,Bovidae,270-290,56,Group-based,1
12,Blobfish,Blobfish,30,10,Pinkish-gray,100-130,Carnivore,Deep-sea,Not Applicable,?,Deep-sea regions/ Tasmania/ Australia/ New Zealand,Vulnerable,Psychrolutidae,?,?,Solitary,?
13,Boar,Wild Boar,100-65,120-30,Black/ Brown,10-25,Omnivore,Grasslands/ Forests,Tigers/ Leopards,20,Eurasia/ North Africa/ Americas,Least Concern,Suidae,160-190,20,Group-based,30-6
14,Bonobo,Bonobo,150,30-40,Black,40-60,Omnivore,Rainforests,Leopards/ Humans,40-60,Democratic Republic of Congo,Endangered,Hominidae,220-230,40-60,Social groups,1
15,Booby,Blue-Footed Booby,81-85,1.5-3,White/ Blue,12-17,Piscivore,Coastal Areas,Sharks/ Orcas,25-35,Eastern Pacific (GalÃ¡pagos Islands),Least Concern,Sulidae,41-45,25-35,Group-based,1
16,Buffalo,Water Buffalo,200-300,1200-300,Dark Gray,20-25,Herbivore,Grasslands/ Wetlands,Tigers/ Crocodiles,40,Africa/ Asia,Least Concern,Bovidae,240-270,40,Group-based,30-500
17,Butterfly,Blue Morpho Butterfly,15,0.028,Blue,1-2 weeks,Herbivore,Rainforests,Bats/ Birds,?,Central and South America,Not Evaluated,Nymphalidae,?,?,Solitary,?
18,Capybara,Capybara,50-62,35-66,Brown,10-8,Herbivore,Grasslands/ Swamps,Jaguars/ Anacondas,30-35,South America,Least Concern,Caviidae,150,35,Group-based,2-8
19,Cheetah,Cheetah,70-90,20-72,Tan with Black Spots,10-12,Carnivore,Grasslands/ Savannas,Hyenas/ Lions,112,India/ Africa/ Iran,Vulnerable,Felidae,90-98,112,Solitary,3-5
20,Chimpanzee,Chimpanzee,160,26-70,Black,40-50,Omnivore,Grasslands/ Rainforests,Leopards/ Humans,40,Central and West Africa,Endangered,Hominidae,230-240,40,Social groups,1
21,Civet,Banded Palm Civet,41-71,2-5,Black/ White/ Brown,10-7,Omnivore,Forests,Birds of Prey,16,Southeast Asia/ South Asia,Least Concern,Viverridae,60-64,16,Solitary,2-5
22,Clownfish,Clownfish,10-7,300-50,Orange,10-6,Omnivore,Coral Reefs,Anemones/ Larger Fish,8,Indian/ Pacific Oceans,Not Evaluated,Pomacentridae,10-6,1.6,Group-based,"1,000"
23,Cobra,King Cobra,550,9,Olive-green,20-30,Carnivore,Grasslands/ Forests,Snakes/ Birds,20,Southeast Asia/ South Asia,Vulnerable,Elapidae,113-90,20,Solitary,20-40
24,Coelacanth,Coelacanth,200,90,Grey/ Brown,60,Carnivore,Caves/ Deep-sea,Sharks/ Humans,1.6,Western Indian Ocean,Not Evaluated,Latimeriidae,260-330 million years,?,Solitary,?
25,Crab,Horseshoe Crab/ Yeti Crab,15-56,0.5-2.3,Brownish-gray/ White/ Hairy,20-20 years,Scavenger/ Omnivore/ Carnivore,Hydrothermal Vents/ Coastal Areas/ Ocean Floor,Predatory Fish/ Not Applicable/ Birds,0.8-1.6,Gulf of Mexico/ Pacific Ocean/ Atlantic Ocean,Not Evaluated/ Vulnerable,Limulidae/ Kiwaidae,2 weeks,?,Solitary,Thousands
26,Devil,Tasmanian Devil/ Thorny Devil,20-76,14-85,White/ Brown/ Tan/ Black,20-8,Scavenger/ Insectivore/ Carnivore,Grasslands/ Forests/ Scrublands/ Desert,Snakes/ Birds/ Tasmanian Tigers,0.16-16,Tasmania/ Australia,Least Concern/ Endangered,Dasyuridae/ Agamidae,21-28,16,Solitary,20-30
27,Dhole,Dhole,50-55,12-21,Brown/ Red,10-15,Carnivore,Grasslands/ Forests,Tigers/ Leopards,56,Asia,Endangered,Canidae,60-63,56,Pack-based,4-8
28,Dingo,Dingo,48-58,13-20,Tan/ Brown,10-15,Carnivore,Grasslands/ Forests,Dingoes/ Humans,48-64,Australia,Least Concern,Canidae,63,48-64,Group-based,1-10
29,Dog,Dalmatian Dog/ African Wild Dog/ Boxer Dog,50-80,18-36,Brindle/ White/ Multicolored/ Fawn/ Black,10-13,Omnivore/ Carnivore,Human Dwellings/ Savannahs/ Worldwide,Not Applicable/ Lions/ Wolves/ Birds of Prey/ Hyenas,40-64,Worldwide/ Sub-Saharan Africa,Not Applicable/ Endangered,Canidae,63-70,37-64,Pack-based/ Group-based/ Social groups,10-9
30,Dolphin,Common Dolphin/ Bottlenose Dolphin/ Atlantic Spotted Dolphin,200-400,100-650,White/ Yellow/ Gray/ Grey,20-50,Carnivore,Oceans/ Coastal Areas,Sharks/ Orcas,37-64,Oceans worldwide/ Worldwide,Least Concern,Delphinidae,12 months-380,40-64,Group-based/ Social pods,1
31,Dragon,Bearded Dragon/ Komodo Dragon/ Leafy Sea Dragon,300-60,0.5-90,Grey/ Brown/ Green/ Various,10-6,Omnivore/ Carnivore,Islands/ Grasslands/ Seaweed Beds/ Deserts/ Woodlands,Birds/ Larger Predators/ Snakes/ Fish/ Humans/ Octopuses,20-64,Indonesia/ Australia/ Southern Australia,Not Evaluated/ Vulnerable/ Near Threatened,Varanidae/ Syngnathidae/ Agamidae,30-8 months,20-64,Solitary,20-300
32,Dugong,Dugong,300,420,Gray,70-80,Herbivore,Coastal Waters/ Seagrass,Sharks/ Orcas,10-15,Western Pacific/ Indian Ocean,Vulnerable,Dugongidae,13-14 months,27,Solitary,1
33,Eagle,Harpy Eagle/ Bald Eagle,102-86,3-9,Black/ White/ Brown,20-35,Carnivore,Coasts/ Forests/ Lakes/ Rainforests,Snakes/ Wolves/ Jaguars/ Raccoons,120-50,Central and South America/ North America,Least Concern/ Near Threatened,Accipitridae,34-58,120-50,Solitary,1-3
34,Echidna,Echidna,30-45,2.5-6.5,Tan/ Brown,15-20,Insectivore,Grasslands/ Forests,Eagles/ Dingoes,16-56,New Guinea/ Australia,Least Concern,Tachyglossidae,22-28,16-56,Solitary,1
35,Eel,Electric Eel,270,20,Grayish-brown,10-15,Carnivore,Amazon Basin,Jaguars/ Crocodiles,?,Amazon Basin,Least Concern,Gymnotidae,10 weeks,4.8,Solitary,Thousands
36,Elephant,African Elephant/ Asian Elephant,200-310,2000-6000,Grey,60-80,Herbivore,Grasslands/ Forests/ Forest/ Savannah,Hyenas/ Lions/ Tigers/ Leopards,25-40,Africa/ Asia (Southeast),Vulnerable/ Endangered,Elephantidae,640-660,40,Herd-based,1
37,Fly,Tsetse Fly,0.7,0.03,Gray/ Brown,28,Carnivore,Savannahs,Not Applicable,?,Africa,Not Applicable,Glossinidae,?,?,Solitary,?
38,Fossa,Fossa,70-90,5-8,Reddish-brown/ Brown,15-20,Carnivore,Madagascar/ Rainforests,Larger Predators/ Humans,45-48,Madagascar,Vulnerable,Eupleridae,90,45-48,Solitary,2-4
39,Fox,Red Fox/ Arctic Fox/ Flying Fox/ Fennec Fox/ Bengal Fox,20-50,0.8-9,Gray/ Cream/ Brown/ White/ Yellowish-gray/ Reddish-brown,10-8,Herbivore/ Omnivore,Grasslands/ Tundra/ Sahara Desert/ Forests,Wolves/ Eagles/ Birds of Prey/ Polar Bears/ Jackals,32-60,India/ Europe/ Asia/ North Africa/ Arctic regions/ Bhutan/ Australia/ Nepal/ North America,Least Concern,Canidae/ Pteropodidae,140-60,32-60,Group-based/ Solitary,1-6
40,Frog,Amazon Rainforest Frog/ Golden Poison Dart Frog/ Red-Eyed Tree Frog/ Glass Frog,13-7.7,0.03-2.4,Transparent/ Red/ Green/ Various,10-5,Insectivore,Amazon Rainforest/ Rainforests,Snakes/ Birds,0.1-1,Central and South America/ Western Colombia/ Central America/ Amazon Rainforest,Least Concern/ Not Evaluated/ Near Threatened,Dendrobatidae/ Hylidae/ Centrolenidae,10-7,0.3-0.8,Solitary,100-40
